candidate_30k_count,candidate_50k_count,candidate_60k_count,candidate_75k_count,error,page_count,status,token_count,wallet,x_max_realized_lot_multiple_from_seed,x_token_mints
0,0,0,0,,1,complete,97,6ed9YoLzxepsuvEdCjHr9M78XPMvRKQuNu24CHawAsve,215.30685385200587,2PzS5SYYWjUFvzXNFaMmRkpjkxGX6R5v8DnKYtdcpump
0,0,0,0,,1,complete,18,92eYKZzRF89b2fBzvkfwu9k1WgCTwVULF55T8m5SXvBZ,3722.3952704656494,2RD1VgxCsRumXPZT4xeTPm3FdN9mG6414RLkDRHKpump|4aWgifrcupQGzjuWzq8bEcS5yZFj92PW3TBN4CSVpump|CixGc8St4fdtRJPLirH5dnwAnjY8SxxfmPPQdjuUpump
0,0,0,0,,1,complete,99,AAPmY8ZvrW28hPtQx4gtiZyUm67X99pHn73uPvY2dmYy,107.07809596037109,2vtuXdpMKHx8CsdeU1y2rr3tfyhPD51B2t5WTbUUpump
0,0,0,0,,4,complete,397,3igJZZU4qLWwojFL17GnZzTnmj5So1rgk9poGmttJCQU,65.84976060774767,3FDvp4d7RVqU1Ng6DQXBpVnyG844CeJYx8WW5PBHpump
0,0,0,0,,12,complete,1119,6By7F3dmfYsyQSuLoenL4fPtrXppTjZ2FGtg2tiBXdfz,614.8934762539599,3FDvp4d7RVqU1Ng6DQXBpVnyG844CeJYx8WW5PBHpump
0,0,0,0,,4,complete,301,BmLiGLuf4NaXqxTJRRfH7dJvg11mtYGdzg6K2hiJPRtR,140.75268638848175,3FDvp4d7RVqU1Ng6DQXBpVnyG844CeJYx8WW5PBHpump
0,0,0,0,Maximum page limit reached without a short final page.,20,incomplete_max_pages,2000,Gkjg9uUFHs6G2GHpLu5BqtBKcLfjCTFSP5ovtN7M5fKv,518.7227886655435,3KHMZhpthXuiCcgfTv7vVu9PpEz64KAEURFwi6Lopump
0,0,0,0,,1,complete,27,33vDcQMZBA2uEYCkVxjuPbBGkc81xRC8Vn9E51cFfcY6,25.85250089181321,3TYgKwkE2Y3rxdw9osLRSpxpXmSC1C1oo19W9KHspump
0,0,0,0,,1,complete,27,CiAaPcQHAEqaCvdSX1ME3mi4FpUpSvTVBM9rXG73f3mq,29.122244559164336,3TYgKwkE2Y3rxdw9osLRSpxpXmSC1C1oo19W9KHspump
0,0,0,0,,1,complete,2,21wfkdLTC3rmfF4BTYMoCMp5Fyv9cbZhQzN5aLidZanM,345.1248846197768,41y7bEjuidUJTZJ7mbfqzKjNcBiecYvjnyPwCb2gpump
0,0,0,0,,17,complete,1654,GJFcrvtxJXr7esGAFDFWSMLsnt4eFFhWQhe7KvXVPCbJ,40.19846626065595,42cXQvAAr7hcPBPWAS4ocVtDyeJ4Fa6gRR2uG4gppump
0,0,0,0,,6,complete,561,44vty7sMdkPLc9Jxiez2wrdTTBVm1g44KpYa1dEU6Sgq,101.73497899534648,4xyyYHkzbhpqkR6scme8soyybBtBYDPg2N6yN5cfpump
0,0,0,0,,1,complete,5,6qh47wsq5QbSePNLQYrLaQ8NfV1ftewjVPSZDmdB6U1H,213.7143378349033,59nzDoRyJ1QcLcFYFs4GVdeZ4qUEb16T2KNuHPWMpump
0,0,0,0,,1,complete,41,G35xr7Z16KZ1W4DLoMup5Hd2xvvM8KHHFuGzikb6hbB5,278.83162862462484,59nzDoRyJ1QcLcFYFs4GVdeZ4qUEb16T2KNuHPWMpump
0,0,0,0,Maximum page limit reached without a short final page.,20,incomplete_max_pages,2000,X23REkUmGPAYtj1zc77tz5ofGmTqhEP5JB3NNn2R3CG,53.39851114852889,6M8sWsmxTdRaX8sMeHXKDrRe3sbAaGC3KyMgwvTSWfju
0,0,0,0,Maximum page limit reached without a short final page.,20,incomplete_max_pages,2000,21cutQKXw6opqwAcUfVVSDFbjKjs9NA94cUTfYBy4SZ6,76.05159434881104,7HgfXftRBBqsYtAEYcqjGLQrNJLL6Tww9ek4rE3Apump
0,0,0,0,,1,complete,5,BGYDRS1JHVqCXjTGNQ79QYQs8YxSg1RPicQfpZcNdkSC,387.6399806390803,7HgfXftRBBqsYtAEYcqjGLQrNJLL6Tww9ek4rE3Apump
0,0,0,0,,1,complete,7,GEetNkwTCXTeChGjxfkGoZUHWkYBmBJhRKcQF7Fe7LDa,295.4274191359468,7HgfXftRBBqsYtAEYcqjGLQrNJLL6Tww9ek4rE3Apump
0,0,0,0,,1,complete,9,B2VWfesGRFKEUASy1QZ8TJcNKFmkNiMX3Gjir9Nh7nxZ,770.042567120327,8H9RDAUyYNMr6Y6nsBb8bBV45XnpW9VQfCKFbyfhpump
0,0,0,0,Maximum page limit reached without a short final page.,20,incomplete_max_pages,2000,5dbKD19c9nnWYj9qwpGHYVzrbaqmzhM3niU3YijEJfHS,183.79681970132205,8Jx8AAHj86wbQgUTjGuj6GTTL5Ps3cqxKRTvpaJApump
0,0,0,0,,1,complete,54,HtjtAmunWehVz4dk91FKkWkk2uMjPmbixtRaziwTTo43,1284.015405106631,98uAmduqPmP6ruqvrnkmcAVeZAWF1oUVRn765Cybpump
1,1,0,0,Maximum page limit reached without a short final page.,20,incomplete_max_pages,2000,2AqFJzcgSMQ9v7Vwh4yE7Vux8brcrjus1eg4K1zM2zUd,70.59645942692893,9HkvDxrZ9zXhecCJMLMeW4J43feUQZ96f7QEj6uUpump
0,0,0,0,,17,complete,1602,6YCQcp4SfJbwkz8rrENYy26FAtCR2jqkTxZKTymeC7tC,215.7835749385072,9HkvDxrZ9zXhecCJMLMeW4J43feUQZ96f7QEj6uUpump
4,3,2,1,,14,complete,1358,CQKJHYqVPn8P944dpQtNud5eVLQr4p8iFuKSVNgKYNxY,92.77771679883789,9HkvDxrZ9zXhecCJMLMeW4J43feUQZ96f7QEj6uUpump
0,0,0,0,Maximum page limit reached without a short final page.,20,incomplete_max_pages,2000,99j6HWTKqEigSbRpe1uJ1g3EVpRZJNnB7wbKsjhfPz8g,294.4267431255464,A2LprEwUDVLQX3xVQqFAMwbzf7ZQdx9wJMJvkQBPpump
0,0,0,0,,1,complete,3,4YNnk3MNVNmNn28qAZEKFGKDHbk9J8CDvptMaC8BNK9q,945.0047969450112,AWSh5PLiH83Zj5es7PTcZT477EmFH85yCZe51Dt6pump
0,0,0,0,,2,complete,102,9qFLRBy8SfFBfJitm7iE2Hf7J1x48sppdKivv5Gubro4,933.4844062451816,AzTfanTxWofndzi653Q75VS7B5vvgLfeJXUBo9Qzpump
0,0,0,0,,1,complete,2,GdebKUxpVXwwKMrZNtaYTWhHn6rzHMZGeduhjdSqg3x6,28.00130371147866,C7V47ci5u2Ak3VYb62a1obLTY74BLFxLB7d2NLKRpump
