token_mint,token_symbol,token_name,token_source_class,token_corrected_ath_mc_usd,token_supply_used,wallet,query_sources,tier,avg_cost_usd,avg_sold_usd,avg_entry_market_cap_usd,direct_sale_price_multiple,history_bought_cost_usd,history_sold_income_usd,aggregate_sold_to_bought_multiple,direct_sale_income_minus_total_buys_usd,gmgn_realized_profit_usd,history_transfer_out_income_usd,is_suspicious,transfer_in,buy_tx_count,sell_tx_count,start_holding_at,end_holding_at,needs_exact_chain_verification,reason,api_status,api_pages,api_raw_item_count,parsed_target_swap_event_count,moralis_buy_event_count,moralis_sell_event_count,first_actual_buy_timestamp,first_actual_buy_transaction_hash,first_actual_buy_market_cap_usd,minimum_actual_buy_market_cap_usd,eligible_sub_50k_buy_count,fifo_allocation_count,passing_fifo_allocation_count,max_realized_lot_multiple,eligible_lots_matched_cost_usd,eligible_lots_matched_sale_income_usd,eligible_lots_realized_profit_usd,eligible_lots_aggregate_realized_multiple,passing_allocations_sale_income_usd,passing_allocations_realized_profit_usd,unmatched_sell_token_amount,remaining_bought_token_amount,strict_direct_swap_pass,transfer_contamination_signal,strict_clean_pass,cluster_trace_required,cluster_trace_priority,verification_rule
2PzS5SYYWjUFvzXNFaMmRkpjkxGX6R5v8DnKYtdcpump,OPAL,Opal,intersection,325584530.365324,999928934,6ed9YoLzxepsuvEdCjHr9M78XPMvRKQuNu24CHawAsve,all_profit|sniper_profit,A,6.29082705083763e-06,0.000281936598502,6290.37998692243,44.8170957846412,211.79662791115,9492.10975995802,44.8170957846412,9280.31313204687,9219.13547257307,0.0,False,False,2,77,1770514633.0,1771287810.0,True,Direct sell exists; avg sell/avg buy >=25x and total sold income/total bought cost >=25x.,ok,1,78,78,1,77,2026-01-24T20:15:23Z,2mv99ChVwq4H4NhJMAB7pjUngpAy4uVugieudgwAR779ctn9dxJyz66v1WiQ349S2aAmA3RVDi8fDYjNmU5YugFB,5792.706103964591,5792.706103964591,1,76,76,215.30685385200587,194.38598583669508,9338.92892141838,9144.542935581683,48.043221229250925,9338.92892141838,9144.542935581683,112892.46069799086,0.0,True,True,False,True,HIGH,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
2RD1VgxCsRumXPZT4xeTPm3FdN9mG6414RLkDRHKpump,TRUMPUMP,American Dominance,intersection,100251424.139279,999554660,92eYKZzRF89b2fBzvkfwu9k1WgCTwVULF55T8m5SXvBZ,all_profit,B,1.38296966137588e-05,0.0015733457603319,13823.5376966689,113.76574658671,6472.16361867092,2608.53273834836,0.403038750569169,-3863.63088032256,4690614.910381764,4694556.5315583935,False,False,7,8,1773215601.0,1773277900.0,True,"Direct sell exists; avg sell/avg buy >=25x, but aggregate sold income/total bought cost is below 25x.",ok,1,15,15,7,8,2026-03-11T07:53:21Z,nbFJJG6b4oqG1x7LcXvEj4Gc14yFjhGZrf1gsKDbcToG5RH9f7fhgEXfBLD5QMUPRJyiUykVhCTLVgDHrzWApry,11670.213535851944,11670.213535851944,1,8,7,3722.3952704656494,19.357281774831403,2614.668110102818,2595.3108283279867,135.07413595138365,2609.383525566001,2608.541350293337,0.0,466332329.40246,True,True,False,True,HIGH,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
2akXpuyFXAVN5YofZpZMfBp2Vxognpmv9NooBMuHpump,ELON,Elon Coin,intersection,17422153.2051049,999718725,F7RV6aBWfniixoFkQNWmRwznDj2vae2XbusFfvMMjtbE,all_profit,B,4.93490491050957e-05,0.002696014995815,49335.1684513087,54.6315490309357,231.30455166,2430.10114520324,10.5060671213047,2198.79659354324,26658.709585665845,24463.77373436684,False,False,1,5,1769727906.0,1769732510.0,True,"Direct sell exists; avg sell/avg buy >=25x, but aggregate sold income/total bought cost is below 25x.",ok,1,6,6,1,5,2026-01-29T23:05:06Z,2NrkSLHT2bZir41e2viu8EdXmLSsy7yqdbzJ6rGqfNWE1Eq1oi67LbsmHoQykSaqbfu9UwTb1d2goeSYQiuF8ahS,50149.85378028958,50149.85378028958,0,5,0,,0.0,0.0,0.0,,0.0,0.0,0.0,3785744.821795,False,True,False,True,HIGH,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
2tXpgu2DLTsPUf9zFmuZmA4xrYxXKBTpVq9wAM7hzs9y,HANTA,Hantavirus,intersection,18070219.8530772,999673705,3qzAhAeGGBtN1EvRkuxcuVtyzBpoGSdfrSYGqRYvWyWu,all_profit,A,2.46337274182192e-05,0.0008844222278845,24625.6895561313,35.9028990160241,430.36683372603,15451.4169711117,35.9028990160241,15021.0501373857,15017.14225102829,0.0,False,False,12,284,1777917389.0,1778594207.0,True,Direct sell exists; avg sell/avg buy >=25x and total sold income/total bought cost >=25x.,ok,3,284,284,0,284,,,,,0,0,0,,0.0,0.0,0.0,,0.0,0.0,17470633.916641023,0.0,False,True,False,True,HIGH,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
2tXpgu2DLTsPUf9zFmuZmA4xrYxXKBTpVq9wAM7hzs9y,HANTA,Hantavirus,intersection,18070219.8530772,999673705,BGiPQJ4KxcxTW11nuCQU61RvERbz2vBseGDjvxN44QEr,all_profit,A,9.55325237812432e-06,0.002410558309781,9550.1351996396,252.328548893032,42.0762589923,10544.8062533687,250.611782176225,10502.7299943764,10502.147093645204,0.0,False,False,1,49,1777861708.0,1778923098.0,True,Direct sell exists; avg sell/avg buy >=25x and total sold income/total bought cost >=25x.,ok,1,44,44,0,44,,,,,0,0,0,,0.0,0.0,0.0,,0.0,0.0,4336907.825372,0.0,False,True,False,True,HIGH,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
2uauFtUGYASTbpZvqebjKqYFxWLQmdeUbGRmHbxzpump,Grok,Grok Coin,intersection,12845187.6658613,999897378,Gon4dpzaZmrJ6xCJ9EQ6ehPiQNnwF4Nbh5Z4Af4VsmW5,all_profit,B,1.56336945251147e-05,0.0005125174679085,15632.0901641151,32.7828759277082,8779.59192614373,2235.26305517468,0.25459760248293,-6544.32887096905,3984492.616203234,3991146.77798192,False,False,1,3,1769744434.0,1769754584.0,True,"Direct sell exists; avg sell/avg buy >=25x, but aggregate sold income/total bought cost is below 25x.",ok,1,4,4,1,3,2026-01-30T03:40:34Z,5UzDjankqxmy5GkdRA8WC9RjJB1i4TvipNdBrE8xqwgEAnEbTtbDrmApdDxWQz8oZmfh8YoxN1RxYaoU79XKeBm7,434564.9540252613,434564.9540252613,0,3,0,,0.0,0.0,0.0,,0.0,0.0,0.0,557220051.2909651,False,True,False,True,HIGH,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
2vtuXdpMKHx8CsdeU1y2rr3tfyhPD51B2t5WTbUUpump,RAGE,RAGE,intersection,15638077.1962767,992453330,AAPmY8ZvrW28hPtQx4gtiZyUm67X99pHn73uPvY2dmYy,all_profit,A,4.83826199470197e-05,0.0029818491433384,48017.4922805441,61.6305844248131,233.0011166556,14359.9949911187,61.6305844248131,14126.9938744631,14124.66201399193,0.0,False,False,1,6,1774866818.0,1774927762.0,True,Direct sell exists; avg sell/avg buy >=25x and total sold income/total bought cost >=25x.,ok,1,7,7,1,6,2026-03-30T10:33:38Z,65JHPQTy2s8rsHSCxP2FJ6vR6sRSTx7M9Kzw56nPCyBsDap8we59N2j6a6JyzPgvcaNx6sqr3q4qTUCCpXz88WSX,48201.18421466693,48201.18421466693,1,6,6,107.07809596037109,233.8924673642373,14336.997913872272,14103.105446508034,61.29739052923613,14336.997913872272,14103.105446508034,0.0,1.7462298274040222e-10,True,False,True,True,MEDIUM,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
33eum82LaAhtv5YkUq1BdwEviSErH5CnFxqVNLT5pump,WORLDCUP,World Cup Coin,intersection,12406040.3349127,999790979,3jm6oCSyD5KLX4v6T7McJuZU8SztQJGXRJ8QHCHQH8HH,all_profit,B,3.54292764983772e-05,0.0016741340298219,35421.8710355743,47.252842713247,380.70545907024,6229.94144905872,16.3642030883232,5849.23598998848,16111.841141691097,10268.293238337625,False,False,1,19,1778543339.0,1778588441.0,True,"Direct sell exists; avg sell/avg buy >=25x, but aggregate sold income/total bought cost is below 25x.",ok,1,19,19,0,19,,,,,0,0,0,,0.0,0.0,0.0,,0.0,0.0,3721291.926502001,0.0,False,True,False,True,HIGH,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
33eum82LaAhtv5YkUq1BdwEviSErH5CnFxqVNLT5pump,WORLDCUP,World Cup Coin,intersection,12406040.3349127,999790979,7ibvpEuwhFHZFENXFoqMBZhzUsjNJtkNGS4P7ykQrwBc,all_profit,A,1.51381962041337e-05,0.000996898022364,15135.0320032249,65.8531577290432,156.37404075172,10297.7243703509,65.8531577290432,10141.3503295991,10139.01032961181,0.0,False,False,1,32,1778540124.0,1778588389.0,True,Direct sell exists; avg sell/avg buy >=25x and total sold income/total bought cost >=25x.,ok,1,32,32,0,32,,,,,0,0,0,,0.0,0.0,0.0,,0.0,0.0,10329767.076808002,0.0,False,True,False,True,HIGH,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
33eum82LaAhtv5YkUq1BdwEviSErH5CnFxqVNLT5pump,WORLDCUP,World Cup Coin,intersection,12406040.3349127,999790979,ErvYFBYLa3U22infscrorXzpFVkXt2aHzRdbMNvgFF3D,all_profit,A,2.23269296197176e-05,0.0033792976677194,22322.2628225615,151.355234475906,676.24267972511,84774.9341000889,125.36170318997,84098.6914203638,90077.61825144752,17097.063437574303,False,False,6,121,1778534504.0,1781487483.0,True,Direct sell exists; avg sell/avg buy >=25x and total sold income/total bought cost >=25x.,ok,2,116,116,0,116,,,,,0,0,0,,0.0,0.0,0.0,,0.0,0.0,19590413.436829,0.0,False,True,False,True,HIGH,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
