token_mint,token_symbol,token_name,token_source_class,token_corrected_ath_mc_usd,token_supply_used,wallet,query_sources,tier,avg_cost_usd,avg_sold_usd,avg_entry_market_cap_usd,direct_sale_price_multiple,history_bought_cost_usd,history_sold_income_usd,aggregate_sold_to_bought_multiple,direct_sale_income_minus_total_buys_usd,gmgn_realized_profit_usd,history_transfer_out_income_usd,is_suspicious,transfer_in,buy_tx_count,sell_tx_count,start_holding_at,end_holding_at,needs_exact_chain_verification,reason,api_status,api_pages,api_raw_item_count,parsed_target_swap_event_count,moralis_buy_event_count,moralis_sell_event_count,first_actual_buy_timestamp,first_actual_buy_transaction_hash,first_actual_buy_market_cap_usd,minimum_actual_buy_market_cap_usd,eligible_sub_50k_buy_count,fifo_allocation_count,passing_fifo_allocation_count,max_realized_lot_multiple,eligible_lots_matched_cost_usd,eligible_lots_matched_sale_income_usd,eligible_lots_realized_profit_usd,eligible_lots_aggregate_realized_multiple,passing_allocations_sale_income_usd,passing_allocations_realized_profit_usd,unmatched_sell_token_amount,remaining_bought_token_amount,strict_direct_swap_pass,transfer_contamination_signal,strict_clean_pass,cluster_trace_required,cluster_trace_priority,verification_rule
2PzS5SYYWjUFvzXNFaMmRkpjkxGX6R5v8DnKYtdcpump,OPAL,Opal,intersection,325584530.365324,999928934,6ed9YoLzxepsuvEdCjHr9M78XPMvRKQuNu24CHawAsve,all_profit|sniper_profit,A,6.29082705083763e-06,0.000281936598502,6290.37998692243,44.8170957846412,211.79662791115,9492.10975995802,44.8170957846412,9280.31313204687,9219.13547257307,0.0,False,False,2,77,1770514633.0,1771287810.0,True,Direct sell exists; avg sell/avg buy >=25x and total sold income/total bought cost >=25x.,ok,1,78,78,1,77,2026-01-24T20:15:23Z,2mv99ChVwq4H4NhJMAB7pjUngpAy4uVugieudgwAR779ctn9dxJyz66v1WiQ349S2aAmA3RVDi8fDYjNmU5YugFB,5792.706103964591,5792.706103964591,1,76,76,215.30685385200587,194.38598583669508,9338.92892141838,9144.542935581683,48.043221229250925,9338.92892141838,9144.542935581683,112892.46069799086,0.0,True,True,False,True,HIGH,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
2RD1VgxCsRumXPZT4xeTPm3FdN9mG6414RLkDRHKpump,TRUMPUMP,American Dominance,intersection,100251424.139279,999554660,92eYKZzRF89b2fBzvkfwu9k1WgCTwVULF55T8m5SXvBZ,all_profit,B,1.38296966137588e-05,0.0015733457603319,13823.5376966689,113.76574658671,6472.16361867092,2608.53273834836,0.403038750569169,-3863.63088032256,4690614.910381764,4694556.5315583935,False,False,7,8,1773215601.0,1773277900.0,True,"Direct sell exists; avg sell/avg buy >=25x, but aggregate sold income/total bought cost is below 25x.",ok,1,15,15,7,8,2026-03-11T07:53:21Z,nbFJJG6b4oqG1x7LcXvEj4Gc14yFjhGZrf1gsKDbcToG5RH9f7fhgEXfBLD5QMUPRJyiUykVhCTLVgDHrzWApry,11670.213535851944,11670.213535851944,1,8,7,3722.3952704656494,19.357281774831403,2614.668110102818,2595.3108283279867,135.07413595138365,2609.383525566001,2608.541350293337,0.0,466332329.40246,True,True,False,True,HIGH,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
2vtuXdpMKHx8CsdeU1y2rr3tfyhPD51B2t5WTbUUpump,RAGE,RAGE,intersection,15638077.1962767,992453330,AAPmY8ZvrW28hPtQx4gtiZyUm67X99pHn73uPvY2dmYy,all_profit,A,4.83826199470197e-05,0.0029818491433384,48017.4922805441,61.6305844248131,233.0011166556,14359.9949911187,61.6305844248131,14126.9938744631,14124.66201399193,0.0,False,False,1,6,1774866818.0,1774927762.0,True,Direct sell exists; avg sell/avg buy >=25x and total sold income/total bought cost >=25x.,ok,1,7,7,1,6,2026-03-30T10:33:38Z,65JHPQTy2s8rsHSCxP2FJ6vR6sRSTx7M9Kzw56nPCyBsDap8we59N2j6a6JyzPgvcaNx6sqr3q4qTUCCpXz88WSX,48201.18421466693,48201.18421466693,1,6,6,107.07809596037109,233.8924673642373,14336.997913872272,14103.105446508034,61.29739052923613,14336.997913872272,14103.105446508034,0.0,1.7462298274040222e-10,True,False,True,True,MEDIUM,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
3FDvp4d7RVqU1Ng6DQXBpVnyG844CeJYx8WW5PBHpump,YETZY,YETZY,intersection,19230084.581046,999892190,3igJZZU4qLWwojFL17GnZzTnmj5So1rgk9poGmttJCQU,all_profit,A,1.01562631372665e-05,0.0003242110033335,10155.1681905377,31.9222728824233,190.16963657618,6070.64703273608,31.9222728824233,5880.4773961599,5877.82031987462,0.0,False,False,1,8,1780799354.0,1780801807.0,True,Direct sell exists; avg sell/avg buy >=25x and total sold income/total bought cost >=25x.,ok,1,9,9,1,8,2026-06-07T02:29:14Z,3R2kd2EGREYkwj59Wu9VvdLuVHGkhrwtVCgFu2E1Zy7wCjvRsZsq4PkxNbW3uri1zKGjcEbY6dWp4tmQCngxwHDQ,10407.918611563247,10407.918611563247,1,8,1,65.84976060774767,194.9027394464691,6096.795076148805,5901.892336702335,31.281217972943452,4499.74925416464,4431.415683736515,9.313225746154783e-10,0.0,True,True,False,True,HIGH,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
3FDvp4d7RVqU1Ng6DQXBpVnyG844CeJYx8WW5PBHpump,YETZY,YETZY,intersection,19230084.581046,999892190,6By7F3dmfYsyQSuLoenL4fPtrXppTjZ2FGtg2tiBXdfz,all_profit|sniper_profit,A,9.3764416355759e-06,0.0022360588189984,9375.43076140317,238.476269133316,12.49556899266,2979.89667406751,238.476269133316,2967.40110507485,2937.17480082213,0.0,False,False,2,12,1780799310.0,1780805946.0,True,Direct sell exists; avg sell/avg buy >=25x and total sold income/total bought cost >=25x.,ok,1,13,13,1,12,2026-06-07T02:28:30Z,2yP3f6e3bv9nTdDLpoToz8vzrixBy14qRuYdgv7zdUt7jfzg6HcPV51JXYaxVwrrBcN3xt8NgQxHGaDr4AkpZJEf,5118.444992195311,5118.444992195311,1,5,5,614.8934762539599,6.238328150520055,2451.3009236924768,2445.062595541957,392.94196530654216,2451.3009236924768,2445.062595541957,113993.53255699995,0.0,True,True,False,True,HIGH,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
3FDvp4d7RVqU1Ng6DQXBpVnyG844CeJYx8WW5PBHpump,YETZY,YETZY,intersection,19230084.581046,999892190,BmLiGLuf4NaXqxTJRRfH7dJvg11mtYGdzg6K2hiJPRtR,all_profit,A,8.9536841670195e-06,0.0002655536888557,8952.71887032946,29.6585945966101,342.102191678,10146.2702135896,29.6585945966101,9804.16802191159,9799.40690290728,0.0,False,False,2,15,1780799346.0,1780803368.0,True,Direct sell exists; avg sell/avg buy >=25x and total sold income/total bought cost >=25x.,ok,1,17,17,2,15,2026-06-07T02:29:06Z,nE3PYrnGKWFH3G9GuCR8CmrLCc7uz7TdNjVFB2Kj6PyhZz1YoEKphjqCtH7EZT5EepuFnHoQ3UCGJuzAvN4yj6k,6781.101046006021,6781.101046006021,2,16,3,140.75268638848175,343.8165778380148,10179.34341862569,9835.526840787676,29.60690110591925,6602.545704787495,6475.380224165065,0.0,4.190951585769653e-09,True,False,True,True,MEDIUM,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
3KHMZhpthXuiCcgfTv7vVu9PpEz64KAEURFwi6Lopump,Goblin,GoblinCoin,intersection,19821350.035436,703496196,Gkjg9uUFHs6G2GHpLu5BqtBKcLfjCTFSP5ovtN7M5fKv,all_profit,A,5.70042127523804e-05,0.00435721432463,40102.2468272743,76.4367072931474,295.37494503328,22424.9265135468,75.9202054562218,22129.5515685136,22127.890719786585,0.0,False,False,6,126,1777144403.0,1782828963.0,True,Direct sell exists; avg sell/avg buy >=25x and total sold income/total bought cost >=25x.,ok,1,78,78,4,74,2026-04-25T19:13:23Z,wcjqsTxkLVCcqRCpk74JwZzTzGBsjoyghMo7DFSGRnBPHFXcn5hQM1HZPeUsW63dDaNcuHAMLFqEiSArUisozkL,35052.277905571,12838.672253701034,3,75,75,518.7227886655435,105.04052651856834,17109.278105136196,17004.237578617627,162.88263846537114,17109.278105136196,17004.237578617627,0.0,820535.6836749995,True,False,True,True,MEDIUM,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
3TYgKwkE2Y3rxdw9osLRSpxpXmSC1C1oo19W9KHspump,BULL,Bull,intersection,11277359.0332784,999917189,33vDcQMZBA2uEYCkVxjuPbBGkc81xRC8Vn9E51cFfcY6,all_profit,B,4.54816969116284e-05,0.001162531866513,45477.9305268255,25.560432997297,566.88701132865,8677.21813753867,15.3067859452297,8110.33112621002,8745.83288776567,641.85395,False,False,2,6,1774278405.0,1774885869.0,True,"Direct sell exists; avg sell/avg buy >=25x, but aggregate sold income/total bought cost is below 25x.",ok,1,8,8,2,6,2026-03-23T15:06:45Z,4iiCfkBHm1QzYC6Y8FfQ9U2XyPsGtf6afKQ22SZJJuqKfD1Ld3NS8CX1XaDmQkjm4RqWx92tNkqBHBd6egsQ3jgB,45468.29349700522,42981.08840610783,2,6,6,25.85250089181321,339.406589357175,8680.311323414517,8340.904734057342,25.574964056693016,8680.311323414517,8340.904734057342,0.0,5000000.000000001,True,True,False,True,HIGH,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
3TYgKwkE2Y3rxdw9osLRSpxpXmSC1C1oo19W9KHspump,BULL,Bull,intersection,11277359.0332784,999917189,CiAaPcQHAEqaCvdSX1ME3mi4FpUpSvTVBM9rXG73f3mq,all_profit,A,3.58174132393327e-05,0.0010012307073111,35814.447163525,27.9537414000535,343.53739355381,9250.87719790315,26.9282976802179,8907.33980434934,8993.454420381922,89.43102968175313,False,False,3,8,1776834225.0,,True,Direct sell exists; avg sell/avg buy >=25x and total sold income/total bought cost >=25x.,ok,1,11,11,3,8,2026-03-23T15:03:05Z,5EJeBuzRANXXaH66qkTcWabWYxPJtbg5aVntCvisTYWK95fBWjn9H3WE7kzcBwtViiVa5hHYkgL8f5uVD5wM8GbX,35615.83290167402,35615.83290167402,2,8,7,29.122244559164336,329.0999573879213,9245.92957896253,8916.829621574609,28.09459366797802,8825.94113019371,8514.650564070127,0.0,351845.2442340006,True,True,False,True,HIGH,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
41y7bEjuidUJTZJ7mbfqzKjNcBiecYvjnyPwCb2gpump,OCCAM,Occam,intersection,22917270.7141702,999999333,21wfkdLTC3rmfF4BTYMoCMp5Fyv9cbZhQzN5aLidZanM,all_profit|sniper_profit,B,3.05737321805272e-06,0.0031217320637025,3057.37117878478,1021.05037267608,511.00947608179,93.13418355174,0.182255296449402,-417.87529253005,1428173.3467949012,1428597.0287248057,False,False,34,33,1783158431.0,1783158460.0,True,"Direct sell exists; avg sell/avg buy >=25x, but aggregate sold income/total bought cost is below 25x.",ok,1,36,36,3,33,2026-06-30T20:12:19Z,3ex3be49BFhZdWGLSUhh7wwYZvQNTC7ENidfpoKhPuPqwAFQJCp7faT4W538CRmsRt1ntGoC8NmoYGawC2KQggEJ,12920.98145660862,12920.98145660862,3,33,33,345.1248846197768,0.3854865942208666,93.06981798335524,92.68433138913436,241.43464229012952,93.06981798335524,92.68433138913436,0.0,495916390.180042,True,True,False,True,HIGH,"FIFO allocation from an actual buy lot below $50,000 to an actual sale at >= 25x; internal transfers are not sales"
