token_mint,token_symbol,token_name,token_supply_used,wallet,tier,api_status,strict_direct_swap_pass,strict_clean_pass,transfer_contamination_signal,cluster_trace_priority,minimum_actual_buy_market_cap_usd,max_realized_lot_multiple,passing_allocations_realized_profit_usd,history_transfer_out_income_usd,transfer_in
2PzS5SYYWjUFvzXNFaMmRkpjkxGX6R5v8DnKYtdcpump,OPAL,Opal,999928934,6ed9YoLzxepsuvEdCjHr9M78XPMvRKQuNu24CHawAsve,A,ok,True,False,True,HIGH,5792.706103964591,215.30685385200587,9144.542935581683,0.0,False
2RD1VgxCsRumXPZT4xeTPm3FdN9mG6414RLkDRHKpump,TRUMPUMP,American Dominance,999554660,92eYKZzRF89b2fBzvkfwu9k1WgCTwVULF55T8m5SXvBZ,B,ok,True,False,True,HIGH,11670.213535851944,3722.3952704656494,2608.541350293337,4694556.5315583935,False
2akXpuyFXAVN5YofZpZMfBp2Vxognpmv9NooBMuHpump,ELON,Elon Coin,999718725,F7RV6aBWfniixoFkQNWmRwznDj2vae2XbusFfvMMjtbE,B,ok,False,False,True,HIGH,50149.85378028958,,0.0,24463.77373436684,False
2tXpgu2DLTsPUf9zFmuZmA4xrYxXKBTpVq9wAM7hzs9y,HANTA,Hantavirus,999673705,3qzAhAeGGBtN1EvRkuxcuVtyzBpoGSdfrSYGqRYvWyWu,A,ok,False,False,True,HIGH,,,0.0,0.0,False
2tXpgu2DLTsPUf9zFmuZmA4xrYxXKBTpVq9wAM7hzs9y,HANTA,Hantavirus,999673705,BGiPQJ4KxcxTW11nuCQU61RvERbz2vBseGDjvxN44QEr,A,ok,False,False,True,HIGH,,,0.0,0.0,False
2uauFtUGYASTbpZvqebjKqYFxWLQmdeUbGRmHbxzpump,Grok,Grok Coin,999897378,Gon4dpzaZmrJ6xCJ9EQ6ehPiQNnwF4Nbh5Z4Af4VsmW5,B,ok,False,False,True,HIGH,434564.9540252613,,0.0,3991146.77798192,False
2vtuXdpMKHx8CsdeU1y2rr3tfyhPD51B2t5WTbUUpump,RAGE,RAGE,992453330,AAPmY8ZvrW28hPtQx4gtiZyUm67X99pHn73uPvY2dmYy,A,ok,True,True,False,MEDIUM,48201.18421466693,107.07809596037109,14103.105446508034,0.0,False
33eum82LaAhtv5YkUq1BdwEviSErH5CnFxqVNLT5pump,WORLDCUP,World Cup Coin,999790979,3jm6oCSyD5KLX4v6T7McJuZU8SztQJGXRJ8QHCHQH8HH,B,ok,False,False,True,HIGH,,,0.0,10268.293238337625,False
33eum82LaAhtv5YkUq1BdwEviSErH5CnFxqVNLT5pump,WORLDCUP,World Cup Coin,999790979,7ibvpEuwhFHZFENXFoqMBZhzUsjNJtkNGS4P7ykQrwBc,A,ok,False,False,True,HIGH,,,0.0,0.0,False
33eum82LaAhtv5YkUq1BdwEviSErH5CnFxqVNLT5pump,WORLDCUP,World Cup Coin,999790979,ErvYFBYLa3U22infscrorXzpFVkXt2aHzRdbMNvgFF3D,A,ok,False,False,True,HIGH,,,0.0,17097.063437574303,False
33eum82LaAhtv5YkUq1BdwEviSErH5CnFxqVNLT5pump,WORLDCUP,World Cup Coin,999790979,GP7ycpisE1qCdeDDjXVXGJgbBXkGzudjg1GrqYiEqR5f,A,ok,False,False,True,HIGH,,,0.0,71121.6901202036,False
34q2KmCvapecJgR6ZrtbCTrzZVtkt3a5mHEA3TuEsWYb,LOL,LOL,989419922,33D9Px9VVMwrrqxVAc7ekqAk3KchzTNn7GSNvskXfEod,A,ok,False,False,True,HIGH,,,0.0,2933.8025859386744,False
34q2KmCvapecJgR6ZrtbCTrzZVtkt3a5mHEA3TuEsWYb,LOL,LOL,989419922,FkSbkDt3yEgvpjNRAgNKavcGJ11ieetUTnmH2ECN4xQm,A,ok,False,False,True,HIGH,,,0.0,0.0,False
3FDvp4d7RVqU1Ng6DQXBpVnyG844CeJYx8WW5PBHpump,YETZY,YETZY,999892190,3igJZZU4qLWwojFL17GnZzTnmj5So1rgk9poGmttJCQU,A,ok,True,False,True,HIGH,10407.918611563247,65.84976060774767,4431.415683736515,0.0,False
3FDvp4d7RVqU1Ng6DQXBpVnyG844CeJYx8WW5PBHpump,YETZY,YETZY,999892190,6By7F3dmfYsyQSuLoenL4fPtrXppTjZ2FGtg2tiBXdfz,A,ok,True,False,True,HIGH,5118.444992195311,614.8934762539599,2445.062595541957,0.0,False
3FDvp4d7RVqU1Ng6DQXBpVnyG844CeJYx8WW5PBHpump,YETZY,YETZY,999892190,BmLiGLuf4NaXqxTJRRfH7dJvg11mtYGdzg6K2hiJPRtR,A,ok,True,True,False,MEDIUM,6781.101046006021,140.75268638848175,6475.380224165065,0.0,False
3FDvp4d7RVqU1Ng6DQXBpVnyG844CeJYx8WW5PBHpump,YETZY,YETZY,999892190,GcjzWtULkoHfQr5NwB2uhRXNz5XqrYvGS2oNUr7veCtb,A,ok,False,False,True,HIGH,,,0.0,0.0,False
3KHMZhpthXuiCcgfTv7vVu9PpEz64KAEURFwi6Lopump,Goblin,GoblinCoin,703496196,Gkjg9uUFHs6G2GHpLu5BqtBKcLfjCTFSP5ovtN7M5fKv,A,ok,True,True,False,MEDIUM,12838.672253701034,518.7227886655435,17004.237578617627,0.0,False
3TYgKwkE2Y3rxdw9osLRSpxpXmSC1C1oo19W9KHspump,BULL,Bull,999917189,33vDcQMZBA2uEYCkVxjuPbBGkc81xRC8Vn9E51cFfcY6,B,ok,True,False,True,HIGH,42981.08840610783,25.85250089181321,8340.904734057342,641.85395,False
3TYgKwkE2Y3rxdw9osLRSpxpXmSC1C1oo19W9KHspump,BULL,Bull,999917189,CiAaPcQHAEqaCvdSX1ME3mi4FpUpSvTVBM9rXG73f3mq,A,ok,True,False,True,HIGH,35615.83290167402,29.122244559164336,8514.650564070127,89.43102968175313,False
3tXvLBVojpviB13khqqsV4f7uh51Gy8m5q39eXJCpump,ZEN,ZEN,948583996,EohTPNGdUmTfRMf4TKmCrd7QmutXJLTD3ZkG8axT4mUL,A,ok,False,False,True,HIGH,,,0.0,0.0,False
