wallet,x_token_mint,x_token_symbol,x_token_name,source_class,creation_timestamp_utc,ath_market_cap_usd_global_unverified_post_buy,minimum_actual_buy_market_cap_usd,eligible_lots_matched_cost_usd,eligible_lots_matched_sale_income_usd,eligible_lots_realized_profit_usd,eligible_lots_aggregate_realized_multiple,max_realized_lot_multiple,api_status,strict_clean_pass_original,provisional_x_v2_pass,requires_post_buy_ath_verification,requires_historical_supply_validation,requires_final_signature_evidence
4HjGze3GXy8aWzWeuR5hFZP6ezqRb3yhLbQULhefzQdN,8Jx8AAHj86wbQgUTjGuj6GTTL5Ps3cqxKRTvpaJApump,PENGUIN,Nietzschean Penguin,intersection,2026-01-16 18:23:15+00:00,173486292.9795,11689.672083510835,408.9947170604648,543827.1103894812,543418.1156724207,1329.667811599344,9586.138933600409,ok,True,True,True,True,True
Bx9TNm7ztJJsg3xfu7VPyangGv3tHH3U7NM7awPe4sLs,8Jx8AAHj86wbQgUTjGuj6GTTL5Ps3cqxKRTvpaJApump,PENGUIN,Nietzschean Penguin,intersection,2026-01-16 18:23:15+00:00,173486292.9795,8967.498661486414,417.069695783123,487302.47592936415,486885.406233581,1168.395788177241,5256.960387042523,ok,True,True,True,True,True
AowTUid5daQr9EqwazF7hDm3jBTQSisv6LaHGhQL8k92,Cm6fNnMk7NfzStP9CZpsQA2v3jjzbcYGAxdJySmHpump,Buttcoin,Buttcoin,intersection,2026-01-09 13:16:01+00:00,37916067589682.9,4888.3000338323245,39.75095420484294,177381.25893530325,177341.5079810984,4462.314489891982,10109.7402568626,ok,True,True,True,True,True
FmxjNGimRGPAV4DYPjZW2mLjm9KH97YXE8beri17TPMc,9HkvDxrZ9zXhecCJMLMeW4J43feUQZ96f7QEj6uUpump,wcd,what the cz doing?,intersection,2026-03-05 09:07:35+00:00,32441266.1360816,14412.940905756484,191.2443903831536,177210.7172539164,177019.47286353324,926.6191646138168,1686.818829180624,ok,True,True,True,True,True
CVACnxuPisY2CvUAz5ty1vJeZ878RvMcrrBdorLAXZwY,3tXvLBVojpviB13khqqsV4f7uh51Gy8m5q39eXJCpump,ZEN,ZEN,intersection,2026-03-31 17:19:34+00:00,16938573.2012852,20644.70526398948,286.82174038957373,107774.79618885135,107487.97444846178,375.7553246921484,616.3147547751128,ok,True,True,True,True,True
82WNyEhjA4F8DQhov48h3hC2TYWqSpr44unfaMSXGtMW,fH1YDRu48pBwedxhNxTRSLsriqx3ysUntRbKMtkpump,ALIENJAK,Alienjak,intersection,2026-02-20 12:22:22+00:00,10465352.7316574,11889.838383770984,155.11104023041025,96926.14020497265,96771.02916474224,624.8822782762167,855.3946565026564,ok,True,True,True,True,True
Ek6SAEMuQgS6whJnzbLjyNaovy9qYqkuoapXAsxeN3q9,7HgfXftRBBqsYtAEYcqjGLQrNJLL6Tww9ek4rE3Apump,RKC,Red Kitten Crew,intersection,2026-05-11 21:07:33+00:00,11562132.0175334,6409.231311210238,273.98425525716164,95732.7515193258,95458.76726406864,349.4096820617339,469.85344280328223,ok,True,True,True,True,True
FToju18rTZXHWqsK84a9hAmanEtbHa3mkK8hFjnoF9VS,HGxYWHhDNGFh7FpoJTuwgNuB7VAHtpeBVBo1u73Tpump,mexicanunc,mexican unc,intersection,2026-04-24 08:36:01+00:00,20063929.1919096,9557.131829563332,76.41048221698121,80330.59776626808,80254.1872840511,1051.3033740338794,1458.5691021691414,ok,True,True,True,True,True
DTztUCtUtjjiK82ntkPHtWv2sV9TM7edebkmWtFALkJV,3tXvLBVojpviB13khqqsV4f7uh51Gy8m5q39eXJCpump,ZEN,ZEN,intersection,2026-03-31 17:19:34+00:00,16938573.2012852,36166.7819598499,222.034138917858,75913.48926889968,75691.45512998181,341.90007734343976,390.5397403898394,ok,True,True,True,True,True
FZtntrtma8farq56vgimfiYAgQJUsccsA1W2GFQ19CA6,fH1YDRu48pBwedxhNxTRSLsriqx3ysUntRbKMtkpump,ALIENJAK,Alienjak,intersection,2026-02-20 12:22:22+00:00,10465352.7316574,10231.900203246754,140.27671203680947,75238.37469147693,75098.09797944012,536.3568449746235,727.1378994479029,ok,True,True,True,True,True
D1idTgERH2xe6qLUeCP6EecG4kBbLYr4omJAk2G44coX,GnFMf6JVRhAqPbA9r8yW16xycynKNkXfbaYbusLEpump,ZReaL,Z李REAL SUPER COIN,moralis_only,2026-01-17 19:52:44+00:00,19560678.3201804,33178.09596549868,774.2023025252402,73299.3510909608,72525.14878843556,94.67725793617248,571.5684625949565,ok,True,True,True,True,True
22vL22PcYcoAVCwYN8iDW9VrFEYq93TCtr7a6avNVyjL,9HkvDxrZ9zXhecCJMLMeW4J43feUQZ96f7QEj6uUpump,wcd,what the cz doing?,intersection,2026-03-05 09:07:35+00:00,32441266.1360816,7170.987056036571,1902.244858793797,74070.00647270237,72167.76161390857,38.93820825972412,82.37528972109845,ok,True,True,True,True,True
BGYDRS1JHVqCXjTGNQ79QYQs8YxSg1RPicQfpZcNdkSC,7HgfXftRBBqsYtAEYcqjGLQrNJLL6Tww9ek4rE3Apump,RKC,Red Kitten Crew,intersection,2026-05-11 21:07:33+00:00,11562132.0175334,3627.995642952904,279.2364777728872,71259.68013001666,70980.44365224376,255.194739234516,387.6399806390803,ok,True,True,True,True,True
BrGbQevPBfWUDqewdYqTFERpJ9mzkromDPnvJNUZpvpz,GnFMf6JVRhAqPbA9r8yW16xycynKNkXfbaYbusLEpump,ZReaL,Z李REAL SUPER COIN,moralis_only,2026-01-17 19:52:44+00:00,19560678.3201804,33178.09596549868,704.0690953391156,66713.12397502593,66009.05487968681,94.75366042432736,571.5684625949565,ok,True,True,True,True,True
9rcihuzwaVeRqScDRURFGz2qWE6TxCKLpNcrbjeTyh7y,HGxYWHhDNGFh7FpoJTuwgNuB7VAHtpeBVBo1u73Tpump,mexicanunc,mexican unc,intersection,2026-04-24 08:36:01+00:00,20063929.1919096,10295.201384450673,72.13483460232194,64943.04629563529,64870.91146103297,900.3007583460217,1337.200436046293,ok,True,True,True,True,True
8PzVLdD8nyVRcDvn2L5iFRJekos765azZBG611HKAP2p,HGxYWHhDNGFh7FpoJTuwgNuB7VAHtpeBVBo1u73Tpump,mexicanunc,mexican unc,intersection,2026-04-24 08:36:01+00:00,20063929.1919096,7505.935562785612,76.29511981006323,56953.26201926394,56876.96689945388,746.486304249199,1406.3226699210006,ok,True,True,True,True,True
q8xThTacX6HaDBkxm3XtNWPKwmJC5yyLh1EJMHjzDFw,HGxYWHhDNGFh7FpoJTuwgNuB7VAHtpeBVBo1u73Tpump,mexicanunc,mexican unc,intersection,2026-04-24 08:36:01+00:00,20063929.1919096,9206.837082428308,76.0410892357913,54270.05557530306,54194.01448606727,713.6938215997967,1281.9036442433896,ok,True,True,True,True,True
DSEQaQrJHBLu2GrcL8QgyweEtB2NNSAXi1VkvdZikzMv,HGxYWHhDNGFh7FpoJTuwgNuB7VAHtpeBVBo1u73Tpump,mexicanunc,mexican unc,intersection,2026-04-24 08:36:01+00:00,20063929.1919096,8475.782204219564,72.44905577489668,48767.27996880316,48694.830913028265,673.1251283705597,1070.092300950441,ok,True,True,True,True,True
HBY9ggL9Ki6cJDnZ5wgmZ91UsNhEHFajGntoVGdyGi9b,HGxYWHhDNGFh7FpoJTuwgNuB7VAHtpeBVBo1u73Tpump,mexicanunc,mexican unc,intersection,2026-04-24 08:36:01+00:00,20063929.1919096,7974.7548164186255,76.9794224763703,45081.54943120747,45004.57000873111,585.6311723440866,924.389947735746,ok,True,True,True,True,True
GKqtLVnFAUoak92oMwvCJo3FRJKAfcL7SgaMPfN8Cx16,2vtuXdpMKHx8CsdeU1y2rr3tfyhPD51B2t5WTbUUpump,RAGE,RAGE,intersection,2026-03-30 10:19:55+00:00,15638077.1962767,10207.081065649249,91.92832158383304,44529.01333234913,44437.0850107653,484.388407893876,558.98390308624,ok,True,True,True,True,True
7yiPAVnJdkB61revuKREisSNZPSRHkppo4mLNq36dMyy,HGxYWHhDNGFh7FpoJTuwgNuB7VAHtpeBVBo1u73Tpump,mexicanunc,mexican unc,intersection,2026-04-24 08:36:01+00:00,20063929.1919096,9867.188701246963,72.46106774527829,42657.99221585924,42585.53114811396,588.7022306352768,1211.5518395283686,ok,True,True,True,True,True
6UYiLRjG8hTLQVxCzqb4rKP2nJSVuB4b53Fqf8TghToE,CGEDT9QZDvvH5GmVkWJH2BXiMJqMJySC9ihWyr7Spump,BURNIE,Burnie Senders,intersection,2026-04-01 17:30:59+00:00,25116779.9570797,5379.7745516653695,67.27975441535727,39563.59798557112,39496.31823115576,588.0461117815902,1021.6406514591928,ok,True,True,True,True,True
7ywtxaWc1oRC2SFvG1HA62AJYmFYCEzSEvgYYoMMbTtF,fH1YDRu48pBwedxhNxTRSLsriqx3ysUntRbKMtkpump,ALIENJAK,Alienjak,intersection,2026-02-20 12:22:22+00:00,10465352.7316574,39025.84093463512,240.19473267444923,32491.63019144152,32251.435458767068,135.27203460984896,168.5600575370511,ok,True,True,True,True,True
2wHHnAmdhFaAAsayWAeqKe3snK3KkbRQkRgLwTtz7iCi,9HkvDxrZ9zXhecCJMLMeW4J43feUQZ96f7QEj6uUpump,wcd,what the cz doing?,intersection,2026-03-05 09:07:35+00:00,32441266.1360816,7170.987056036571,756.7010976515202,32317.82991883218,31561.12882118066,42.708845036875246,83.15205306396066,ok,True,True,True,True,True
